Major Lag
dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NO_CHANGE,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000
BACKWARD_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total values: 12

Minor Lag
dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
FORWARDS_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NO_CHANGE,0.0000,0.0000,7.0000,161.0000,0.0000,0.0000,0.0000
BACKWARD_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total values: 169

Micro Lag
dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NO_CHANGE,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000
BACKWARD_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total values: 2

No Lag
dA\dB,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MAJOR,BACKWARD_MINOR,BACKWARD_MICRO
FORWARDS_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FORWARDS_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NO_CHANGE,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000
BACKWARD_MAJOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MINOR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BACKWARD_MICRO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total values: 3



Lag (Vers Behind), Major, Days of Lag, Minor, Days of Lag, Micro, Days of Lag
,0,0,1,229,0,0
,0,0,1,229,0,0
,0,0,1,229,0,0
,0,0,1,230,0,0
,0,0,1,229,0,0
,0,0,1,229,0,0
,0,0,1,230,0,0
,0,0,1,230,0,0
,0,0,1,230,0,0
,0,0,1,230,0,0
,0,0,1,230,0,0
,0,0,1,240,0,0
,0,0,1,240,0,0
,0,0,1,240,0,0
,0,0,1,240,0,0
,0,0,1,242,0,0
,0,0,1,244,0,0
,0,0,1,247,0,0
,0,0,1,247,0,0
,0,0,1,247,0,0
,0,0,1,246,0,0
,0,0,1,247,0,0
,0,0,1,250,0,0
,0,0,1,251,0,0
,0,0,1,254,0,0
,0,0,1,255,0,0
,0,0,1,264,0,0
,0,0,1,265,0,0
,0,0,1,265,0,0
,0,0,1,267,0,0
,0,0,1,270,0,0
,0,0,1,270,0,0
,0,0,1,275,0,0
,0,0,1,275,0,0
,0,0,1,275,0,0
,0,0,1,276,0,0
,0,0,1,276,0,0
,0,0,1,276,0,0
,0,0,1,276,0,0
,0,0,1,275,0,0
,0,0,1,275,0,0
,0,0,1,276,0,0
,0,0,1,276,0,0
,0,0,1,277,0,0
,0,0,1,277,0,0
,0,0,1,276,0,0
,0,0,1,276,0,0
,0,0,1,277,0,0
,0,0,1,277,0,0
,0,0,1,278,0,0
,0,0,1,278,0,0
,0,0,1,278,0,0
,0,0,1,278,0,0
,0,0,1,278,0,0
,0,0,1,279,0,0
,0,0,1,284,0,0
,0,0,1,285,0,0
,0,0,1,286,0,0
,0,0,1,286,0,0
,0,0,1,286,0,0
,0,0,1,289,0,0
,0,0,1,289,0,0
,0,0,1,289,0,0
,0,0,1,289,0,0
,0,0,1,289,0,0
,0,0,1,290,0,0
,0,0,1,290,0,0
,0,0,1,289,0,0
,0,0,1,290,0,0
,0,0,1,291,0,0
,0,0,1,293,0,0
,0,0,1,292,0,0
,0,0,1,296,0,0
,0,0,1,296,0,0
,0,0,1,296,0,0
,0,0,1,296,0,0
,0,0,1,297,0,0
,0,0,1,300,0,0
,0,0,1,303,0,0
,0,0,1,347,0,0
,0,0,1,348,0,0
,0,0,1,348,0,0
,0,0,1,353,0,0
,0,0,1,423,0,0
,0,0,1,423,0,0
,0,0,1,440,0,0
,0,0,1,445,0,0
,0,0,1,459,0,0
,0,0,1,459,0,0
,0,0,1,467,0,0
,0,0,1,471,0,0
,0,0,1,471,0,0
,0,0,1,471,0,0
,0,0,1,472,0,0
,0,0,1,475,0,0
,0,0,1,475,0,0
,0,0,1,479,0,0
,0,0,1,481,0,0
,0,0,1,481,0,0
,0,0,1,492,0,0
,0,0,1,499,0,0
,0,0,1,499,0,0
,0,0,1,499,0,0
,0,0,1,498,0,0
,0,0,1,499,0,0
,0,0,1,530,0,0
,0,0,1,534,0,0
,0,0,1,552,0,0
,0,0,1,556,0,0
,0,0,1,559,0,0
,0,0,1,559,0,0
,0,0,1,559,0,0
,0,0,1,559,0,0
,0,0,1,562,0,0
,0,0,1,562,0,0
,0,0,1,562,0,0
,0,0,1,563,0,0
,0,0,1,572,0,0
,0,0,1,10,0,0
,0,0,0,0,0,0
,0,0,0,0,1,3
,0,0,0,0,5,79
,0,0,1,38,10,164
,0,0,1,38,10,164
,0,0,1,38,10,164
,0,0,1,38,10,164
,0,0,1,38,10,164
,0,0,1,38,10,164
,0,0,1,43,10,169
,0,0,1,76,10,202
,0,0,1,76,10,202
,0,0,1,77,10,202
,0,0,1,78,10,204
,0,0,1,115,10,241
,0,0,1,155,10,281
,0,0,1,175,10,301
,0,0,1,294,10,420
,0,0,1,328,10,454
,0,0,1,328,10,454
,0,0,1,434,10,560
,1,69,1,547,10,673
,0,0,1,569,0,0
,0,0,1,569,0,0
,0,0,1,570,0,0
,0,0,1,572,0,0
,0,0,1,572,0,0
,0,0,1,573,0,0
,0,0,1,573,0,0
,0,0,1,573,0,0
,0,0,1,573,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,1,13,6,101
,0,0,1,21,10,147
,0,0,1,38,10,164
,0,0,1,41,10,167
