
Project information
com.lixar.lwayve:lwayve-proxsee (2590244)	io.proxsee:proxsee-sdk (2356950)	Package Manager: Maven
RepoID: 25258225
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=2.0.0, dependency=2.5.1, time=2017-11-17 20:31:47 UTC),	Latest, "DependencyVersion(version=2.6.0, time=2017-09-06 12:42:35 UTC)"

ProjectVersionFixed(version=2.1.0, dependency=2.5.1, time=2017-12-01 18:55:01 UTC),	Latest, "DependencyVersion(version=3.0.0, time=2017-11-29 10:10:47 UTC)"

ProjectVersionFixed(version=2.1.1, dependency=3.0.0, time=2017-12-07 17:07:20 UTC),	Latest, "null"

ProjectVersionFixed(version=2.2.0, dependency=3.0.0, time=2017-12-22 16:36:41 UTC),	Latest, "null"

ProjectVersionFixed(version=2.3.0, dependency=3.0.0, time=2018-01-25 22:39:54 UTC),	Latest, "DependencyVersion(version=3.0.2, time=2018-01-21 00:00:20 UTC)"

ProjectVersionFixed(version=2.3.1, dependency=3.0.0, time=2018-01-25 22:55:06 UTC),	Latest, "DependencyVersion(version=3.0.2, time=2018-01-21 00:00:20 UTC)"

ProjectVersionFixed(version=2.3.2, dependency=3.0.0, time=2018-01-30 00:11:08 UTC),	Latest, "DependencyVersion(version=3.0.2, time=2018-01-21 00:00:20 UTC)"

ProjectVersionFixed(version=2.3.3, dependency=3.0.0, time=2018-01-31 01:44:27 UTC),	Latest, "DependencyVersion(version=3.0.2, time=2018-01-21 00:00:20 UTC)"

ProjectVersionFixed(version=2.4.0, dependency=3.0.2, time=2018-02-22 20:00:39 UTC),	Latest, "null"

ProjectVersionFixed(version=2.4.1, dependency=3.0.0, time=2018-03-02 15:31:09 UTC),	Latest, "DependencyVersion(version=3.0.3, time=2018-02-26 20:13:17 UTC)"

ProjectVersionFixed(version=2.4.2, dependency=3.0.0, time=2018-03-06 19:45:08 UTC),	Latest, "DependencyVersion(version=3.0.3, time=2018-02-26 20:13:17 UTC)"

ProjectVersionFixed(version=2.4.3, dependency=3.0.0, time=2018-03-15 17:40:00 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=2.4.4, dependency=3.0.0, time=2018-03-15 22:24:41 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=2.4.5, dependency=3.0.0, time=2018-03-16 17:34:59 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=2.5.0, dependency=3.0.0, time=2018-04-03 15:51:36 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=3.0.0, dependency=3.0.0, time=2018-04-30 17:54:10 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=3.0.1, dependency=3.0.0, time=2018-05-03 15:37:56 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=3.0.2, dependency=3.0.0, time=2018-05-03 16:34:42 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=3.1.0, dependency=3.0.0, time=2018-05-25 17:03:50 UTC),	Latest, "DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)"

ProjectVersionFixed(version=3.1.1, dependency=3.0.0, time=2018-06-25 15:44:25 UTC),	Latest, "DependencyVersion(version=3.1.1, time=2018-06-19 13:26:11 UTC)"


Project B:
DependencyVersion(version=2.0, time=2015-06-24 20:04:56 UTC)
DependencyVersion(version=2.0.1, time=2015-07-07 02:19:39 UTC)
DependencyVersion(version=2.0.2, time=2015-07-15 13:47:53 UTC)
DependencyVersion(version=2.0.3, time=2015-07-20 16:19:18 UTC)
DependencyVersion(version=2.0.4, time=2015-09-15 15:23:55 UTC)
DependencyVersion(version=2.0.5, time=2015-09-22 17:25:50 UTC)
DependencyVersion(version=2.1.0, time=2015-09-16 17:35:28 UTC)
DependencyVersion(version=2.1.1, time=2015-09-25 20:20:55 UTC)
DependencyVersion(version=2.1.2, time=2015-10-06 20:31:08 UTC)
DependencyVersion(version=2.2.0, time=2015-11-25 17:10:39 UTC)
DependencyVersion(version=2.2.1, time=2015-12-07 15:12:43 UTC)
DependencyVersion(version=2.2.2, time=2015-12-09 15:53:03 UTC)
DependencyVersion(version=2.2.3, time=2016-01-12 16:02:51 UTC)
DependencyVersion(version=2.2.4, time=2016-01-29 20:51:56 UTC)
DependencyVersion(version=2.3.0, time=2016-03-07 15:04:14 UTC)
DependencyVersion(version=2.3.1, time=2016-03-14 19:45:30 UTC)
DependencyVersion(version=2.3.2, time=2016-07-04 15:58:56 UTC)
DependencyVersion(version=2.3.3, time=2016-07-04 15:44:26 UTC)
DependencyVersion(version=2.3.4, time=2016-07-18 12:48:54 UTC)
DependencyVersion(version=2.3.5, time=2016-07-19 13:53:47 UTC)
DependencyVersion(version=2.3.6, time=2016-09-21 11:04:55 UTC)
DependencyVersion(version=2.3.7, time=2016-09-29 11:41:44 UTC)
DependencyVersion(version=2.3.8, time=2016-10-02 21:09:01 UTC)
DependencyVersion(version=2.4.0, time=2016-12-21 12:09:44 UTC)
DependencyVersion(version=2.4.1, time=2017-01-20 06:42:26 UTC)
DependencyVersion(version=2.4.2, time=2017-02-14 16:27:51 UTC)
DependencyVersion(version=2.4.3, time=2017-05-16 09:47:13 UTC)
DependencyVersion(version=2.4.4, time=2017-07-06 13:42:22 UTC)
DependencyVersion(version=2.4.5, time=2017-07-06 13:31:28 UTC)
DependencyVersion(version=2.4.6, time=2017-08-10 09:51:14 UTC)
DependencyVersion(version=2.4.7, time=2017-08-16 13:39:29 UTC)
DependencyVersion(version=2.5.0, time=2017-09-05 20:31:45 UTC)
DependencyVersion(version=2.5.1, time=2017-10-24 10:00:30 UTC)
DependencyVersion(version=2.6.0, time=2017-09-06 12:42:35 UTC)
DependencyVersion(version=3.0.0, time=2017-11-29 10:10:47 UTC)
DependencyVersion(version=3.0.1, time=2018-01-08 21:06:03 UTC)
DependencyVersion(version=3.0.2, time=2018-01-21 00:00:20 UTC)
DependencyVersion(version=3.0.3, time=2018-02-26 20:13:17 UTC)
DependencyVersion(version=3.0.4, time=2018-03-27 07:21:39 UTC)
DependencyVersion(version=3.0.5, time=2018-04-23 06:29:05 UTC)
DependencyVersion(version=3.1.0, time=2018-03-09 21:56:01 UTC)
DependencyVersion(version=3.1.1, time=2018-06-19 13:26:11 UTC)
