
Project information
git-ms (2689824)	cli-spinner (136013)	Package Manager: NPM
RepoID: 33999521
Repo Owner/Name: null
Repository type: null

 

Tag information:

Project A:
ProjectVersionFixed(version=0.0.0, dependency=0.2.7, time=2018-03-12 21:14:55 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.0, dependency=0.2.7, time=2018-03-19 20:09:04 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.1, dependency=0.2.7, time=2018-06-11 07:33:05 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.2, dependency=0.2.8, time=2018-06-12 12:10:10 UTC),	Latest, "null"

ProjectVersionFixed(version=1.0.3, dependency=0.2.7, time=2018-06-12 12:50:57 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.4, dependency=0.2.7, time=2018-06-14 14:47:25 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.5, dependency=0.2.7, time=2018-06-14 14:50:51 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.6, dependency=0.2.7, time=2018-06-14 17:00:30 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.0.7, dependency=0.2.7, time=2018-06-22 08:10:31 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.1.7, dependency=0.2.7, time=2018-06-25 10:01:20 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.2.0, dependency=0.2.7, time=2018-06-25 11:54:08 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"

ProjectVersionFixed(version=1.2.1, dependency=0.2.7, time=2018-07-31 15:43:09 UTC),	Latest, "DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)"


Project B:
DependencyVersion(version=0.1.2, time=2013-11-13 22:40:18 UTC)
DependencyVersion(version=0.1.4, time=2013-11-13 22:50:44 UTC)
DependencyVersion(version=0.1.5, time=2013-12-15 23:03:45 UTC)
DependencyVersion(version=0.1.6, time=2014-12-26 12:54:23 UTC)
DependencyVersion(version=0.2.0, time=2015-01-04 15:56:00 UTC)
DependencyVersion(version=0.2.1, time=2015-05-14 07:07:57 UTC)
DependencyVersion(version=0.2.2, time=2016-01-17 20:33:26 UTC)
DependencyVersion(version=0.2.3, time=2016-02-03 10:56:46 UTC)
DependencyVersion(version=0.2.4, time=2016-02-04 10:35:03 UTC)
DependencyVersion(version=0.2.5, time=2016-03-26 20:22:36 UTC)
DependencyVersion(version=0.2.6, time=2017-02-04 12:10:14 UTC)
DependencyVersion(version=0.2.7, time=2017-10-26 06:27:14 UTC)
DependencyVersion(version=0.2.8, time=2018-02-16 20:04:54 UTC)
